Living_Room,,,
Lobster_Bisque,,,
Lobster_Roll_Sandwich,,,
Locker_Room,,,
Log_Cabin,,,
Long_Jump,,,
Macaroni_and_Cheese,,,
Macaroons,,,
Magenta,,,
Male_Adult,,,
Mammal,,,
Man_Made_Scene,,,
Manatee,,,
Mantis,,,
Market,,,
Marsupial,,,
Martial_Art,,,
Meat_Dish,,,
Meat_Eater,,,
Medical_Space,,,
Meeting,,,
Meter,,,
Microwave,,,
Military_Parade,,,
Military_Plane,,,
MiniVan,,,
Miriapod,,,
Miso_Soup,,,
Mixed_Color,,,
Mixed_Type,,,
Mollusk,,,
Monkey,,,
Motor_Sport,,,
Motorbike_Racing,,,
Motorcycle,,,
Mountain_Scene,,,
Mountains,,,
Mud_Wrestling,,,
Mug,,,
Musical_Instrument,,,
Mussels,,,
Nachos,,,
Natural_Activity,,,
Nature_Scene,,,
Neckless,,,
News_Studio,,,
Night_Sky,,,
Non_Activity,,,
Non_Human,,,
Non_Landmark,,,
Non_Object,,,
Non_Photo,,,
Non_Scene,,,
Non_Sky_Scene,,,
Noodles,,,
Nursery,,,
Object,,,
Ocean_(waves),,,
Octopus,,,
Odd_Toed_Ungulate,,,
Off_Road_Auto_Racing,,,
Oilrig,,,
Okapi,,,
Omelette,,,
Onion_Rings,,,
Orange,,,
Orchard,,,
Ostrich,,,
Outdoors,,,
Oven,,,
Owl,,,
Oysters,,,
Pad_Thai,,,
Paella,,,
Pancakes,,,
Panda,,,
Panna_Cotta,,,
Pantry,,,
Parachuting,,,
Parade,,,
Parasailing,,,
Park,,,
Parking_Lot,,,
Parkour,,,
Passageway,,,
Passenger_Ship,,,
Pasta,,,
Peacock,,,
Peking_Duck,,,
Penguin,,,
People,,,
People_Activity,,,
Performance_Space,,,
Performing,,,
Person,,,
Person_View,,,
Pho,,,
Photo,,,
Piano,,,
Pigeon,,,
Pizza,,,
Placental_Mammal,,,
Platform_Diving,,,
Playground,,,
Playroom,,,
Plaza,,,
Pliers,,,
Pole_Vault,,,
Polo,,,
Porcupine,,,
Pork_Chop,,,
Potatoes,,,
Poutine,,,
Power_Boating,,,
Powerboat_Racing,,,
Primate,,,
Prime_Rib,,,
Professional_Wrestling,,,
Public_Building,,,
Public_Transportation_Space,,,
Pudding_or_Custard,,,
Pulled_Pork_Sandwich,,,
Pyramid,,,
Pyramids,,,
Rabbit,,,
Rabbit,,,
